Brand,Model,Year,Kilometer Driven (km),Fuel Type,Transmission Type,Location,Price (INR)
Audi,A6,2018,22630,Electric,Automatic,Pune,5176605.5
Ford,EcoSport,2010,172150,Electric,Automatic,New Delhi,94177.5
Ford,Fiesta,2015,171759,Diesel,Automatic,New Delhi,74236.15
Audi,A4,2004,22487,Diesel,Manual,Ahmedabad,3446626.95
Tata,Nexon,2016,80668,CNG,Manual,Chennai,437899.8
Honda,Jazz,2020,26633,Petrol,Automatic,Mumbai,566005.05
Audi,A6,2004,64330,Diesel,Automatic,Chennai,4440350.5
Hyundai,Elantra,2007,46805,Petrol,Automatic,Ahmedabad,372979.25
Mercedes,C-Class,2010,131587,CNG,Manual,Chennai,4280261.95
Maruti Suzuki,Dzire,2004,118918,Diesel,Manual,Ahmedabad,50000.0
Maruti Suzuki,Swift,2024,14612,Petrol,Manual,Ahmedabad,497808.2
Ford,Endeavour,2019,98391,Petrol,Automatic,Kolkata,2655241.35
Honda,Civic,2006,164265,Petrol,Manual,Mumbai,50000.0
Audi,Q5,2017,169887,Petrol,Manual,Kolkata,5524516.95
Toyota,Corolla,2000,62229,CNG,Manual,New Delhi,50000.0
BMW,M3,2012,38092,Electric,Automatic,New Delhi,6844286.2
Nissan,Terrano,2011,168658,Electric,Manual,New Delhi,674701.3
Hyundai,Verna,2006,147280,CNG,Manual,Ahmedabad,50000.0
Audi,A4,2016,97215,Electric,Manual,Mumbai,4055417.75
Honda,Jazz,2010,173096,Diesel,Manual,Mumbai,74035.6
Tata,Altroz,2023,88011,CNG,Automatic,Pune,506798.35
Nissan,Terrano,2011,88776,Petrol,Automatic,Pune,636683.6
Audi,Q5,2013,92748,CNG,Manual,Mumbai,5436087.8
Tata,Altroz,2021,58163,Electric,Manual,New Delhi,441275.55
Hyundai,Verna,2015,115664,CNG,Automatic,Bangalore,382650.4
Tata,Harrier,2020,70476,Petrol,Manual,Mumbai,1459428.6
BMW,3 Series,2013,121161,Petrol,Automatic,Chennai,3331825.85
Honda,Civic,2012,80020,CNG,Automatic,Bangalore,87997.0
Hyundai,Elantra,2005,77861,Petrol,Manual,Mumbai,288320.85
Mercedes,S-Class,2015,43296,Diesel,Automatic,Hyderabad,9493505.6
BMW,3 Series,2011,61777,CNG,Automatic,New Delhi,3290733.45
Toyota,Fortuner,2019,73882,Electric,Automatic,Kolkata,3138917.7
Hyundai,Creta,2008,44008,Electric,Manual,Hyderabad,693398.8
Tata,Harrier,2016,26283,Electric,Manual,Ahmedabad,1266057.55
Maruti Suzuki,Vitara Brezza,2007,123301,Diesel,Manual,Pune,50000.0
Mercedes,S-Class,2003,148243,Electric,Manual,Ahmedabad,8857763.55
Maruti Suzuki,Swift,2012,180228,Diesel,Automatic,Pune,50000.0
Toyota,Fortuner,2004,15305,CNG,Automatic,New Delhi,2467704.25
Honda,Jazz,2016,16781,CNG,Automatic,Kolkata,267482.85
Nissan,Magnite,2002,181940,Petrol,Automatic,Hyderabad,50000.0
Nissan,Terrano,2007,107762,Diesel,Automatic,Chennai,383835.7
Hyundai,Verna,2019,67868,Electric,Manual,Hyderabad,559819.8
Ford,Endeavour,2024,13538,Diesel,Automatic,Pune,2927969.3
Toyota,Fortuner,2011,86659,Electric,Manual,New Delhi,2837001.15
Honda,Civic,2008,45587,Petrol,Manual,Pune,50000.0
Tata,Nexon,2014,9295,Electric,Manual,Chennai,318605.75
Audi,Q5,2016,62688,CNG,Manual,Pune,5540596.8
BMW,M3,2015,120365,Petrol,Manual,Ahmedabad,6931945.25
Hyundai,Creta,2019,122397,Diesel,Manual,New Delhi,1261640.45
Hyundai,Verna,2015,50685,Diesel,Automatic,New Delhi,492397.25
Mercedes,S-Class,2020,185514,Diesel,Automatic,Bangalore,9742172.9
BMW,3 Series,2006,76997,Electric,Manual,Kolkata,3008450.45
Ford,EcoSport,2024,89434,Electric,Automatic,Mumbai,800000.0
BMW,X5,2021,158192,Electric,Automatic,Chennai,7756271.2
Honda,Jazz,2016,51225,CNG,Automatic,New Delhi,292316.25
Nissan,Terrano,2021,103128,CNG,Automatic,Chennai,1054530.8
BMW,3 Series,2002,181043,Petrol,Manual,Kolkata,2822843.55
BMW,3 Series,2024,192460,Diesel,Automatic,Kolkata,3971131.0
Tata,Nexon,2008,194444,Diesel,Manual,Kolkata,70833.4
Mercedes,E-Class,2015,95582,Petrol,Manual,Kolkata,6005662.7
Honda,Jazz,2023,108134,CNG,Automatic,Kolkata,603779.9
Mercedes,C-Class,2012,74258,Petrol,Manual,Hyderabad,4388861.3
Nissan,Magnite,2012,139564,CNG,Automatic,Bangalore,50000.0
Honda,Jazz,2016,105787,Electric,Manual,Pune,284131.95
Toyota,Corolla,2008,182762,Electric,Automatic,Mumbai,342585.7
Audi,A4,2014,20724,Petrol,Automatic,New Delhi,4016891.4
Audi,A6,2013,139777,CNG,Automatic,Kolkata,4829033.45
Mercedes,S-Class,2012,15596,Electric,Manual,Mumbai,9397660.6
Tata,Altroz,2023,75575,Electric,Manual,Mumbai,558663.75
Audi,A6,2023,5755,Diesel,Automatic,Ahmedabad,5349136.75
Mercedes,E-Class,2011,109063,CNG,Manual,Chennai,5803640.55
Tata,Harrier,2018,147484,Diesel,Manual,Kolkata,1307877.4
Ford,Endeavour,2008,117330,Electric,Automatic,Ahmedabad,2112400.5
Hyundai,Elantra,2003,93089,Electric,Automatic,Hyderabad,186036.65
Mercedes,C-Class,2002,135837,Petrol,Manual,Kolkata,3779624.45
Ford,EcoSport,2016,180623,Diesel,Automatic,New Delhi,402906.55
Ford,Fiesta,2016,117282,Electric,Automatic,Mumbai,232407.7
Toyota,Innova,2016,148331,Electric,Manual,Mumbai,1227750.35
Nissan,Magnite,2008,89655,Diesel,Automatic,Bangalore,50000.0
Hyundai,Elantra,2021,29521,CNG,Automatic,Hyderabad,1125571.85
Ford,Endeavour,2008,17714,Diesel,Manual,Hyderabad,2147342.9
Honda,Jazz,2006,153658,Electric,Manual,Hyderabad,50000.0
Honda,City,2023,36712,Electric,Manual,Hyderabad,944493.2
BMW,M3,2013,130416,CNG,Automatic,Hyderabad,6910437.6
BMW,X5,2009,18043,CNG,Manual,Pune,7147293.55
Tata,Harrier,2017,189218,Diesel,Manual,Hyderabad,1241617.3
BMW,X5,2006,189308,Petrol,Manual,Bangalore,7071603.8
Toyota,Corolla,2018,178960,Petrol,Automatic,Hyderabad,843156.0
Tata,Altroz,2021,157707,Electric,Automatic,Hyderabad,326343.95
Nissan,Kicks,2009,143432,Petrol,Automatic,Pune,398485.2
Toyota,Innova,2015,69254,Petrol,Automatic,Pune,1039611.9
Tata,Harrier,2016,151685,Petrol,Automatic,New Delhi,1227247.25
Toyota,Fortuner,2000,49582,Petrol,Automatic,Chennai,2292562.7
Audi,Q5,2016,124596,Electric,Automatic,Mumbai,5581310.6
Audi,A4,2020,128281,CNG,Automatic,Kolkata,4230757.85
Audi,A6,2004,69219,Electric,Manual,Bangalore,4519617.15
Audi,Q5,2006,45811,Diesel,Automatic,Bangalore,5143128.35
Maruti Suzuki,Vitara Brezza,2018,154827,Electric,Automatic,Pune,376775.95
Maruti Suzuki,Vitara Brezza,2000,78298,Electric,Automatic,New Delhi,50000.0
BMW,M3,2006,75113,Electric,Manual,Pune,6538733.05
Audi,Q5,2004,68353,Petrol,Automatic,Chennai,4889747.05
BMW,X5,2015,36138,CNG,Automatic,Hyderabad,7494579.3
BMW,M3,2001,59843,CNG,Manual,Ahmedabad,6241023.55
BMW,M3,2010,92542,Petrol,Automatic,Hyderabad,6756118.7
Hyundai,Verna,2005,151037,CNG,Automatic,Ahmedabad,50000.0
Toyota,Innova,2016,139507,Diesel,Automatic,Mumbai,1229073.95
Hyundai,Verna,2002,23019,CNG,Manual,Pune,50000.0
Honda,Jazz,2021,87177,Diesel,Manual,Bangalore,636923.45
Maruti Suzuki,Swift,2016,46643,Electric,Automatic,Bangalore,163003.55
Toyota,Fortuner,2015,103223,CNG,Manual,Mumbai,3054516.55
Toyota,Corolla,2018,112299,Diesel,Manual,Ahmedabad,833155.15
Nissan,Terrano,2010,88148,CNG,Automatic,Hyderabad,506777.8
Maruti Suzuki,Vitara Brezza,2016,78818,CNG,Automatic,Pune,368177.3
Toyota,Innova,2011,103803,CNG,Manual,Kolkata,904429.55
Honda,Civic,2004,123425,Diesel,Manual,Mumbai,50000.0
Honda,Civic,2015,55415,Diesel,Automatic,Ahmedabad,191687.75
Honda,City,2003,6550,Diesel,Manual,Hyderabad,50000.0
Toyota,Corolla,2021,31169,Petrol,Automatic,Chennai,995324.65
Tata,Harrier,2012,91101,Petrol,Manual,Bangalore,1106334.85
Maruti Suzuki,Dzire,2005,21344,Petrol,Automatic,Pune,50000.0
Tata,Harrier,2023,179680,Electric,Automatic,Ahmedabad,1603048.0
Ford,Endeavour,2003,143460,Petrol,Manual,Chennai,1878481.0
Tata,Altroz,2023,50691,Petrol,Automatic,Pune,442396.35
BMW,X5,2014,118828,Petrol,Manual,Kolkata,7482175.8
Mercedes,C-Class,2013,103938,Diesel,Manual,Hyderabad,4384409.3
Tata,Harrier,2007,172858,CNG,Manual,Mumbai,774071.3
BMW,3 Series,2016,22472,CNG,Automatic,Ahmedabad,3496629.2
Hyundai,Creta,2012,180798,Petrol,Manual,Pune,842880.3
Honda,City,2003,153654,Diesel,Automatic,Pune,50000.0
Honda,Civic,2012,7042,Petrol,Manual,Chennai,50000.0
Hyundai,Verna,2005,127451,Diesel,Manual,Bangalore,50000.0
Hyundai,Verna,2022,191634,CNG,Manual,Chennai,721254.9
Honda,City,2011,73775,Electric,Automatic,Kolkata,288933.75
Tata,Altroz,2003,88300,Diesel,Manual,New Delhi,50000.0
Nissan,Magnite,2007,159086,Electric,Manual,Chennai,50000.0
Mercedes,E-Class,2007,184603,Diesel,Automatic,Kolkata,5592309.55
BMW,X5,2017,34542,Electric,Automatic,Ahmedabad,7614818.7
Ford,EcoSport,2019,35255,CNG,Automatic,Kolkata,494711.75
Toyota,Fortuner,2010,144049,Electric,Manual,Pune,2698392.65
Maruti Suzuki,Vitara Brezza,2003,74891,CNG,Manual,Ahmedabad,50000.0
Hyundai,Verna,2010,51226,Electric,Manual,Ahmedabad,162316.1
Audi,Q5,2001,155947,CNG,Manual,Chennai,4776607.95
Audi,Q5,2005,141725,Electric,Manual,Bangalore,5078741.25
Nissan,Terrano,2017,186275,Diesel,Manual,Bangalore,972058.75
Tata,Nexon,2008,168848,Electric,Manual,Kolkata,50000.0
Hyundai,Creta,2003,67884,CNG,Manual,Pune,419817.4
Hyundai,Elantra,2023,53551,Petrol,Manual,Hyderabad,1171967.35
Ford,EcoSport,2004,22028,Diesel,Manual,Pune,50000.0
Nissan,Terrano,2000,153424,Electric,Manual,Ahmedabad,50000.0
Ford,Endeavour,2019,39073,CNG,Automatic,Chennai,2664139.05
Nissan,Kicks,2010,131810,Diesel,Manual,Mumbai,450228.5
Audi,Q5,2014,193103,Petrol,Manual,Chennai,5391034.55
Nissan,Terrano,2021,194525,Electric,Automatic,Mumbai,1100821.25
Ford,Fiesta,2015,127813,Petrol,Manual,Kolkata,80828.05
Maruti Suzuki,Dzire,2011,133467,Electric,Automatic,Ahmedabad,50000.0
Ford,Fiesta,2016,110256,Diesel,Automatic,New Delhi,183461.6
Ford,Fiesta,2002,149532,Diesel,Automatic,Ahmedabad,50000.0
Honda,City,2017,175232,Petrol,Automatic,Pune,593715.2
Ford,Fiesta,2003,96145,Petrol,Automatic,Chennai,50000.0
Tata,Harrier,2001,56685,Electric,Automatic,New Delhi,561497.25
BMW,3 Series,2002,134420,Electric,Manual,Kolkata,2859837.0
BMW,X5,2020,194133,Petrol,Automatic,Mumbai,7790880.05
Nissan,Kicks,2001,195637,Petrol,Manual,Chennai,50000.0
BMW,3 Series,2022,171257,Electric,Automatic,New Delhi,3854311.45
Nissan,Magnite,2020,21552,Diesel,Automatic,Pune,376767.2
Ford,EcoSport,2015,132289,Electric,Automatic,Hyderabad,300156.65
Mercedes,C-Class,2009,55968,Diesel,Manual,New Delhi,4191604.8
Toyota,Corolla,2020,162563,CNG,Manual,Mumbai,955615.55
Ford,Fiesta,2004,190451,Petrol,Manual,Hyderabad,50000.0
Toyota,Corolla,2008,25387,Petrol,Manual,Chennai,346191.95
Honda,Civic,2015,24905,Electric,Manual,Pune,196264.25
Mercedes,C-Class,2017,165697,CNG,Manual,Hyderabad,4575145.45
Hyundai,Creta,2007,127606,Electric,Automatic,Kolkata,610859.1
Mercedes,C-Class,2021,168689,CNG,Automatic,Bangalore,4854696.65
Honda,City,2021,182644,CNG,Manual,Mumbai,822603.4
Toyota,Fortuner,2017,64101,Electric,Manual,Bangalore,3170384.85
Ford,Endeavour,2013,167215,Diesel,Automatic,Pune,2344917.75
Mercedes,S-Class,2018,169725,CNG,Manual,Bangalore,9644541.25
Toyota,Corolla,2006,198899,Diesel,Automatic,Hyderabad,220165.15
Ford,EcoSport,2000,18696,Diesel,Manual,Bangalore,50000.0
Hyundai,Elantra,2001,174087,Petrol,Manual,New Delhi,123886.95
BMW,M3,2004,20117,Petrol,Automatic,New Delhi,6446982.45
Tata,Altroz,2006,35670,Electric,Automatic,Kolkata,50000.0
Honda,City,2007,78668,Petrol,Automatic,Mumbai,108199.8
Maruti Suzuki,Dzire,2013,53125,Diesel,Manual,Mumbai,112031.25
Maruti Suzuki,Swift,2011,88443,CNG,Automatic,New Delhi,50000.0
Mercedes,C-Class,2013,155547,CNG,Automatic,Kolkata,4396667.95
Honda,Civic,2023,33197,CNG,Manual,Ahmedabad,615020.45
Hyundai,Creta,2005,76236,Electric,Manual,Pune,488564.6
Ford,EcoSport,2003,7993,Diesel,Manual,Ahmedabad,50000.0
Nissan,Kicks,2007,189260,Electric,Manual,New Delhi,371611.0
Hyundai,Elantra,2006,182601,Diesel,Automatic,Pune,322609.85
Nissan,Kicks,2000,51096,Petrol,Automatic,Chennai,50000.0
Tata,Nexon,2012,117679,Petrol,Manual,New Delhi,232348.15
BMW,M3,2008,83949,Diesel,Manual,Chennai,6637407.65
Toyota,Innova,2023,196722,Diesel,Automatic,Pune,1450491.7
Hyundai,Verna,2005,28892,CNG,Automatic,New Delhi,50000.0
Mercedes,E-Class,2024,42123,Petrol,Automatic,Ahmedabad,6493681.55
Tata,Nexon,2012,140438,Diesel,Manual,Bangalore,248934.3
Toyota,Fortuner,2002,8426,Electric,Manual,Chennai,2368736.1
Honda,Civic,2024,191687,Diesel,Automatic,Chennai,651246.95
Tata,Nexon,2018,97258,Electric,Manual,Pune,515411.3
Audi,Q5,2007,17023,CNG,Automatic,Chennai,5117446.55
Hyundai,Elantra,2015,72953,Electric,Automatic,Chennai,789057.05
Ford,EcoSport,2020,52185,CNG,Automatic,Bangalore,542172.25
Audi,A6,2010,19758,CNG,Automatic,Bangalore,4777036.3
Nissan,Kicks,2017,167531,CNG,Automatic,Bangalore,854870.35
BMW,3 Series,2023,174440,CNG,Automatic,Kolkata,3873834.0
Nissan,Kicks,2022,98453,Petrol,Automatic,Kolkata,985232.05
Nissan,Magnite,2016,143005,CNG,Manual,Bangalore,228549.25
BMW,M3,2019,19579,Electric,Manual,New Delhi,7197063.15
Tata,Altroz,2001,102481,Electric,Manual,Chennai,50000.0
BMW,X5,2024,139086,Petrol,Manual,New Delhi,7979137.1
Honda,City,2007,14336,Petrol,Automatic,Mumbai,127849.6
Nissan,Terrano,2000,74786,Diesel,Manual,Bangalore,50000.0
Maruti Suzuki,Dzire,2016,101428,Diesel,Manual,Ahmedabad,164785.8
Mercedes,E-Class,2010,71726,Electric,Manual,New Delhi,5839241.1
BMW,X5,2011,123104,Diesel,Automatic,Kolkata,7301534.4
Nissan,Terrano,2014,87900,Diesel,Manual,Ahmedabad,736815.0
Ford,EcoSport,2021,90222,Electric,Automatic,Chennai,556466.7
Ford,Endeavour,2005,99179,CNG,Automatic,Hyderabad,2005123.15
BMW,M3,2016,136926,Petrol,Manual,Ahmedabad,7029461.1
Tata,Nexon,2017,38637,Electric,Manual,Bangalore,544204.45
BMW,3 Series,2017,100879,Electric,Manual,Ahmedabad,3584868.15
Ford,EcoSport,2021,103538,Petrol,Automatic,Hyderabad,614469.3
Nissan,Terrano,2015,49576,Electric,Automatic,Mumbai,792563.6
Mercedes,S-Class,2001,199478,CNG,Automatic,Bangalore,8790078.3
Nissan,Terrano,2006,180523,Electric,Manual,New Delhi,372921.55
Mercedes,S-Class,2003,38561,Petrol,Manual,Chennai,8844215.85
Ford,EcoSport,2012,18564,CNG,Manual,Mumbai,247215.4
Ford,Endeavour,2024,16776,Electric,Automatic,Hyderabad,2897483.6
Hyundai,Verna,2021,131273,CNG,Automatic,Chennai,630309.05
Honda,Jazz,2011,95578,CNG,Manual,Ahmedabad,55663.3
Audi,A4,2016,111703,CNG,Automatic,Chennai,4033244.55
Audi,A6,2012,98449,Petrol,Manual,Kolkata,4865232.65
Honda,Jazz,2001,7169,CNG,Automatic,New Delhi,50000.0
Maruti Suzuki,Swift,2003,162491,Electric,Manual,Pune,50000.0
Tata,Harrier,2009,120886,Electric,Automatic,Mumbai,901867.1
Audi,A6,2010,136895,Petrol,Manual,Ahmedabad,4759465.75
Nissan,Terrano,2017,41190,Petrol,Manual,Ahmedabad,873821.5
Maruti Suzuki,Swift,2005,143454,Diesel,Automatic,Hyderabad,50000.0
Hyundai,Verna,2016,148912,Diesel,Manual,Chennai,397663.2
Mercedes,S-Class,2001,100729,CNG,Manual,Bangalore,8884890.65
Audi,Q5,2021,195368,Petrol,Manual,Kolkata,5790694.8
Maruti Suzuki,Dzire,2020,74074,CNG,Manual,Hyderabad,438888.9
Mercedes,C-Class,2022,53564,CNG,Manual,Mumbai,4941965.4
Audi,Q5,2020,30490,Petrol,Automatic,Hyderabad,5715426.5
Hyundai,Creta,2002,138110,CNG,Manual,Mumbai,379283.5
Maruti Suzuki,Swift,2020,84191,Electric,Manual,Hyderabad,337371.35
Nissan,Magnite,2005,103054,Diesel,Manual,Mumbai,50000.0
Toyota,Corolla,2000,10542,Electric,Manual,Mumbai,50000.0
Hyundai,Elantra,2020,146052,Petrol,Manual,Hyderabad,998092.2
Nissan,Magnite,2018,45662,Electric,Manual,Chennai,293150.7
Honda,Civic,2009,128541,Diesel,Manual,Chennai,50000.0
BMW,3 Series,2016,118863,CNG,Automatic,Ahmedabad,3532170.55
Tata,Harrier,2013,62757,Electric,Manual,Kolkata,1140586.45
Toyota,Innova,2012,81386,Petrol,Manual,Chennai,907792.1
Honda,Jazz,2022,114287,CNG,Manual,Mumbai,632856.95
Mercedes,E-Class,2002,53053,Electric,Automatic,Hyderabad,5372042.05
Nissan,Magnite,2004,175695,CNG,Automatic,Pune,50000.0
Honda,Jazz,2003,85644,Electric,Manual,New Delhi,50000.0
Toyota,Innova,2000,97096,Petrol,Manual,Ahmedabad,335435.6
Nissan,Terrano,2002,53321,Petrol,Manual,Pune,192001.85
Audi,A6,2018,13761,Diesel,Automatic,Pune,5147935.85
Maruti Suzuki,Dzire,2011,102873,Diesel,Automatic,Hyderabad,50000.0
Honda,Civic,2001,186273,Electric,Automatic,Chennai,50000.0
Ford,EcoSport,2008,80176,CNG,Manual,Bangalore,50000.0
Hyundai,Creta,2007,91229,Petrol,Automatic,Hyderabad,536315.65
BMW,3 Series,2014,163618,Petrol,Manual,Kolkata,3375457.3
Ford,EcoSport,2003,43067,Electric,Automatic,Chennai,50000.0
Mercedes,E-Class,2015,171788,Petrol,Manual,Ahmedabad,5944231.8
BMW,M3,2021,82982,CNG,Automatic,Mumbai,7287552.7
BMW,M3,2021,56587,Petrol,Manual,Mumbai,7361511.95
Hyundai,Creta,2014,61242,Electric,Automatic,New Delhi,1040813.7
Mercedes,C-Class,2007,137631,Diesel,Manual,Chennai,4109355.35
Audi,A4,2021,135931,Electric,Manual,Kolkata,4229610.35
Mercedes,S-Class,2019,160130,Electric,Manual,Hyderabad,9675980.5
Tata,Nexon,2010,123159,CNG,Manual,Ahmedabad,151526.15
Mercedes,E-Class,2004,181461,Electric,Manual,Chennai,5372780.85
Audi,Q5,2022,161551,Diesel,Automatic,New Delhi,5845767.35
BMW,3 Series,2021,78594,Electric,Manual,Mumbai,3858210.9
Maruti Suzuki,Swift,2010,185733,Petrol,Manual,Bangalore,50000.0
Audi,Q5,2000,134346,Petrol,Manual,Mumbai,4799848.1
Audi,A4,2016,56657,CNG,Automatic,Ahmedabad,4041501.45
Toyota,Innova,2008,162141,Diesel,Manual,Bangalore,825678.85
BMW,X5,2010,9773,Electric,Automatic,Hyderabad,7268534.05
Audi,A4,2021,146667,Electric,Automatic,New Delhi,4327999.95
Tata,Nexon,2019,40648,Petrol,Manual,Bangalore,663902.8
Hyundai,Creta,2006,188694,Electric,Manual,Hyderabad,521695.9
BMW,M3,2015,131332,Petrol,Manual,Bangalore,7030300.2
Mercedes,C-Class,2016,156827,CNG,Automatic,Hyderabad,4556475.95
BMW,M3,2004,138725,CNG,Manual,Ahmedabad,6399191.25
Ford,Endeavour,2006,64513,Electric,Automatic,New Delhi,2090323.05
Maruti Suzuki,Swift,2004,151689,Electric,Automatic,Hyderabad,50000.0
Honda,City,2002,130741,Petrol,Automatic,Mumbai,50000.0
Hyundai,Creta,2012,61505,Electric,Automatic,Ahmedabad,890774.25
Tata,Nexon,2016,79360,Diesel,Automatic,Kolkata,408096.0
Nissan,Kicks,2007,132146,Electric,Automatic,Pune,250178.1
Tata,Altroz,2011,40144,Electric,Automatic,Pune,50000.0
Tata,Altroz,2019,178898,CNG,Manual,Chennai,253165.3
BMW,3 Series,2008,77420,Electric,Manual,Ahmedabad,3088387.0
Honda,City,2000,61724,Petrol,Automatic,Mumbai,50000.0
Hyundai,Verna,2020,146360,CNG,Automatic,New Delhi,708046.0
Tata,Altroz,2024,164861,Petrol,Automatic,Chennai,475270.85
Toyota,Innova,2011,65145,Electric,Automatic,New Delhi,990228.25
BMW,X5,2003,134196,Electric,Automatic,Chennai,6899870.6
Hyundai,Elantra,2005,75594,Electric,Manual,Kolkata,258660.9
Honda,Jazz,2018,89438,CNG,Automatic,Kolkata,356584.3
Nissan,Magnite,2009,16014,Electric,Manual,New Delhi,50000.0
Maruti Suzuki,Swift,2014,184738,Petrol,Manual,Hyderabad,50000.0
Ford,Fiesta,2021,58735,Diesel,Manual,Chennai,361189.75
Toyota,Innova,2011,36924,Diesel,Manual,Bangalore,944461.4
BMW,M3,2002,141352,Petrol,Automatic,Mumbai,6328797.2
Maruti Suzuki,Swift,2020,185559,Electric,Automatic,Mumbai,372166.15
Audi,A4,2005,145875,Diesel,Automatic,New Delhi,3498118.75
Mercedes,E-Class,2007,153675,Petrol,Automatic,Kolkata,5556948.75
Tata,Altroz,2009,10459,CNG,Automatic,New Delhi,50000.0
Maruti Suzuki,Vitara Brezza,2022,45402,Diesel,Manual,New Delhi,693189.7
Tata,Altroz,2004,93753,Electric,Manual,Chennai,50000.0
Mercedes,S-Class,2010,29702,Diesel,Automatic,Pune,9195544.7
Tata,Harrier,2006,168345,Diesel,Automatic,Mumbai,774748.25
Tata,Harrier,2003,132527,Electric,Automatic,Kolkata,600120.95
Tata,Harrier,2024,83280,Diesel,Manual,New Delhi,1637508.0
Tata,Nexon,2011,196157,Electric,Automatic,Pune,150576.45
Toyota,Fortuner,2024,127937,Electric,Automatic,Pune,3430809.45
Honda,City,2014,105575,Petrol,Manual,Bangalore,434163.75
Tata,Altroz,2002,25320,Electric,Automatic,Hyderabad,50000.0
Ford,Endeavour,2019,109931,Electric,Automatic,Bangalore,2713510.35
Ford,EcoSport,2015,96730,Diesel,Automatic,Pune,315490.5
Maruti Suzuki,Dzire,2007,130566,Diesel,Automatic,Kolkata,50000.0
Mercedes,E-Class,2021,166821,Diesel,Automatic,Kolkata,6304976.85
Tata,Harrier,2015,123139,Diesel,Manual,Pune,1181529.15
Toyota,Corolla,2008,140971,Petrol,Manual,New Delhi,378854.35
Honda,City,2016,12589,Electric,Automatic,Bangalore,568111.65
Toyota,Fortuner,2008,73117,Electric,Manual,Hyderabad,2639032.45
Mercedes,S-Class,2020,5221,Electric,Automatic,Hyderabad,9699216.85
Maruti Suzuki,Swift,2005,148404,CNG,Manual,Hyderabad,50000.0
Tata,Nexon,2008,107652,CNG,Automatic,Mumbai,50000.0
Tata,Nexon,2019,59270,Electric,Manual,Ahmedabad,561109.5
Hyundai,Verna,2011,166827,Diesel,Manual,Mumbai,244975.95
Nissan,Magnite,2007,197402,Diesel,Manual,New Delhi,50000.0
Ford,EcoSport,2008,28537,Electric,Automatic,Ahmedabad,50000.0
Tata,Harrier,2013,191710,Diesel,Manual,Mumbai,1101243.5
Honda,City,2011,105014,Petrol,Automatic,Kolkata,254247.9
Audi,A6,2000,179053,CNG,Automatic,Chennai,4243142.05
Mercedes,E-Class,2017,172299,Electric,Automatic,Ahmedabad,6124155.15
Toyota,Corolla,2018,138811,CNG,Automatic,Chennai,799178.35
Tata,Harrier,2016,85274,Electric,Automatic,Mumbai,1267208.9
Hyundai,Verna,2010,53747,Electric,Manual,Pune,161937.95
Toyota,Fortuner,2014,199962,Petrol,Automatic,Pune,2890005.7
Nissan,Terrano,2010,94167,Electric,Manual,Ahmedabad,565874.95
Toyota,Corolla,2000,93066,Petrol,Automatic,Bangalore,50000.0
BMW,3 Series,2011,16137,Petrol,Automatic,Kolkata,3267579.45
Toyota,Corolla,2003,22355,Diesel,Automatic,Mumbai,126646.75
Tata,Harrier,2003,141029,CNG,Automatic,Bangalore,628845.65
Toyota,Innova,2011,67223,Diesel,Automatic,Kolkata,889916.55
Mercedes,E-Class,2018,118265,Diesel,Manual,Pune,6152260.25
Audi,Q5,2015,166777,Diesel,Automatic,Mumbai,5524983.45
